Atom: 39
Frequency   X       Y       Z       IR      Raman
594.8459  -0.01  0.01  0.00  13.2342  1.7613
596.5926  -0.01  0.01  0.01  46.8986  1.4084
597.6731  0.01  -0.01  -0.01  6.3672  1.5318
600.3821  -0.01  0.01  0.00  18.5036  2.0797
606.7735  -0.01  0.01  0.01  4.9913  4.3613
607.9293  0.01  -0.01  -0.01  162.1689  8.2157
625.7653  -0.01  0.01  0.00  17.78  1.1343
628.8164  -0.01  0.01  0.01  111.5049  15.5283
629.5259  0.01  -0.01  -0.01  111.0132  9.7796
638.6000  -0.01  0.01  0.00  64.1565  9.0496
646.2814  -0.00  -0.00  0.01  6.8372  8.954
648.0201  -0.01  0.01  -0.00  39.7696  20.2797
649.6329  -0.01  0.01  0.00  27.234  12.904
650.0405  -0.00  -0.00  0.01  2.9487  14.856
651.1026  -0.01  0.01  -0.00  23.1154  17.46
653.4535  -0.01  0.01  0.00  92.6404  22.2474
663.5839  -0.00  -0.00  0.01  40.1896  3.2971
665.4321  -0.01  0.00  -0.00  84.2629  6.5905
666.7787  -0.01  0.01  -0.03  5.4683  0.3444
668.7916  -0.00  -0.00  0.01  13.5164  3.4033
669.0299  0.01  0.01  -0.00  44.1459  6.8514
676.6130  -0.01  0.01  -0.03  139.5272  32.7697
699.0195  -0.00  -0.00  0.01  19.5423  2.0891
702.3344  0.01  0.01  -0.00  0.7821  1.5424
739.0523  -0.01  0.01  -0.03  5.1652  1.2239

Atom: 110
Frequency   X       Y       Z       IR      Raman
200.6553  0.03  -0.02  -0.01  3.164  4.1247
202.1960  0.00  -0.00  -0.01  2.8849  0.5179
204.7517  -0.01  0.02  0.04  1.6613  0.3163
211.1029  0.01  0.00  -0.02  1.1216  0.3722
213.7703  -0.04  0.01  0.00  0.8042  1.1774
214.8466  0.00  -0.02  0.01  7.8489  2.5703
224.4366  0.00  0.01  -0.01  4.0156  2.3087
227.7777  -0.00  -0.02  0.03  24.8681  0.4242
233.8974  0.17  -0.07  -0.00  7.0931  3.6788
235.4437  -0.01  -0.03  0.00  9.69  2.713
239.9815  0.12  -0.03  0.03  5.1375  3.0577
247.0492  0.22  -0.11  0.02  30.3467  3.9195
250.4028  -0.07  0.01  -0.02  8.5645  1.3905
255.7048  0.08  -0.04  -0.11  9.7569  1.2799
262.2922  0.05  -0.10  0.13  10.0861  6.3157
264.9277  0.04  0.04  -0.10  8.4392  2.0707
265.9583  -0.11  0.01  0.14  10.2567  0.9106
266.9208  0.05  0.05  -0.03  14.7274  1.1849
269.5511  -0.02  -0.01  0.03  3.7655  6.318
278.4852  0.00  -0.01  -0.03  43.387  2.7547
280.5695  -0.01  0.04  0.06  17.3544  2.1341
282.7175  0.04  0.02  0.16  36.157  1.6875
286.8719  -0.06  0.05  0.07  28.8234  2.5816
299.7976  -0.12  0.08  -0.02  13.464  2.2319
301.7082  -0.14  0.01  0.01  7.2054  6.8134
302.7576  0.07  -0.05  0.03  8.46  0.4751
309.6594  -0.19  0.08  -0.09  12.4083  8.0858
317.4359  -0.01  0.07  0.30  9.3946  4.1573
320.0419  0.09  0.02  0.04  5.6405  1.2022
329.2068  -0.02  -0.03  -0.00  2.7421  1.9588
332.8589  0.03  -0.00  -0.00  2.6131  1.5035
336.3553  0.04  -0.03  -0.01  15.512  2.4882
345.4075  0.03  -0.02  -0.03  16.0983  4.0714
349.4142  -0.03  -0.02  0.10  10.0039  2.7027
351.0855  -0.02  0.00  0.02  30.2461  5.9162
356.3506  0.02  0.01  -0.00  8.3418  4.5281
363.1151  -0.01  0.02  -0.05  15.6648  1.4564
